restaurant,date,menu_categories_id,id,name,file_path,logo_path,variation_data_id,variation_data_name,variation_data_price
"bonchon",2022-10-11 00:00:00.0000000,2679838,25130641,"1 Pc Chicken Meal + 1 Pc Chicken Meal","https://images.deliveryhero.io/image/fd-ph/Products/25015070.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/25015070.jpg?width=%s",29610699,,241.19999999999999
"bonchon",2022-10-11 00:00:00.0000000,2679838,25130642,"2 Pcs Chicken Meal + 2 Pcs Chicken Meal","https://images.deliveryhero.io/image/fd-ph/Products/25015071.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/25015071.jpg?width=%s",29610700,,405
"bonchon",2022-10-11 00:00:00.0000000,2679838,25130643,"Chicken Chops Ricebox Meal + Chicken Chops Ricebox Meal","https://images.deliveryhero.io/image/fd-ph/Products/25015072.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/25015072.jpg?width=%s",29610701,,387
"bonchon",2022-10-11 00:00:00.0000000,2679838,25130644,"3 Pcs Fish Meal + 3 Pcs Fish Meal","https://images.deliveryhero.io/image/fd-ph/Products/25015073.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/25015073.jpg?width=%s",29610702,,396
"bonchon",2022-10-11 00:00:00.0000000,2679838,25130645,"Crispy Squid Rice Meal + Crispy Squid Rice Meal","https://images.deliveryhero.io/image/fd-ph/Products/25015074.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/25015074.jpg?width=%s",29610703,,396
"bonchon",2022-10-11 00:00:00.0000000,2679838,25130646,"Crispy Shrimp Meal + Crispy Shrimp Meal","https://images.deliveryhero.io/image/fd-ph/Products/25015075.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/25015075.jpg?width=%s",29610704,,396
"bonchon",2022-10-11 00:00:00.0000000,2679838,25130647,"Loaded Bibimbowl with Beverage + Loaded Bibimbowl with Beverage","https://images.deliveryhero.io/image/fd-ph/Products/25015076.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/25015076.jpg?width=%s",29610705,,396
"bonchon",2022-10-11 00:00:00.0000000,2679838,25130648,"Chicken Chops Sandwich Meal + Chicken Chops Sandwich Meal","https://images.deliveryhero.io/image/fd-ph/Products/25015077.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/25015077.jpg?width=%s",29610706,,435.60000000000002
"bonchon",2022-10-11 00:00:00.0000000,2679838,25130649,"Korean Beef Stew Meal + Korean Beef Stew Meal","https://images.deliveryhero.io/image/fd-ph/Products/25015078.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/25015078.jpg?width=%s",29610707,,405
"bonchon",2022-12-07 00:00:00.0000000,2765505,26502771,"K-mas Bundle 1","https://images.deliveryhero.io/image/fd-ph/Products/26484459.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/26484459.jpg?width=%s",31114929,,769
"bonchon",2023-02-06 00:00:00.0000000,2765505,26502771,"K-mas Bundle 1","https://images.deliveryhero.io/image/fd-ph/Products/26484459.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/26484459.jpg?width=%s",31114929,,615.20000000000005
"bonchon",2022-12-07 00:00:00.0000000,2765505,26502772,"K-mas Bundle 2","https://images.deliveryhero.io/image/fd-ph/Products/26484497.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/26484497.jpg?width=%s",31114930,,989
"bonchon",2023-02-06 00:00:00.0000000,2765505,26502772,"K-mas Bundle 2","https://images.deliveryhero.io/image/fd-ph/Products/26484497.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/26484497.jpg?width=%s",31114930,,791.20000000000005
"bonchon",2023-02-06 00:00:00.0000000,2848839,27653643,"Chingu Party Box","https://images.deliveryhero.io/image/fd-ph/Products/27651040.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/27651040.jpg?width=%s",32446457,,527.20000000000005
"bonchon",2023-02-08 00:00:00.0000000,2848839,27653643,"Chingu Party Box","https://images.deliveryhero.io/image/fd-ph/Products/27651040.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/27651040.jpg?width=%s",32446457,,659
"bonchon",2023-11-28 00:00:00.0000000,2848839,38438812,"Christmas Box To Share Bundle","https://images.deliveryhero.io/image/fd-ph/Products/37953498.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/37953498.jpg?width=%s",43887781,,1145
"bonchon",2023-12-16 00:00:00.0000000,2848839,39727635,"Christmas Box To Share Bundle","https://images.deliveryhero.io/image/fd-ph/Products/37952839.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/37952839.jpg?width=%s",45237477,,1145
"bonchon",2024-01-15 00:00:00.0000000,2848839,40514250,"Blueberry Burst Koyo","https://images.deliveryhero.io/image/fd-ph/Products/40514078.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/40514078.jpg?width=%s",46049088,,116
"bonchon",2024-01-15 00:00:00.0000000,2848839,40514251,"White Chocolate Crunch Koyo","https://images.deliveryhero.io/image/fd-ph/Products/40514079.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/40514079.jpg?width=%s",46049089,,116
"bonchon",2024-02-12 00:00:00.0000000,2848839,41788417,"6-Pc Bonless Chikin Rack","https://images.deliveryhero.io/image/fd-ph/Products/41750444.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/41750444.jpg?width=%s",47379718,,330
