restaurant,date,url_key,menu_categories_id,menu_categories_name
"manginasal",2023-08-19 00:00:00.0000000,"mang-inasal-taft-avenue",2924938,"PandaPro Bundles"
"manginasal",2023-08-19 00:00:00.0000000,"mang-inasal-taft-avenue",2930800,"Must Try!"
"manginasal",2023-08-19 00:00:00.0000000,"mang-inasal-taft-avenue",2961667,"Fiesta Group Meals"
"chowking",2024-02-29 00:00:00.0000000,"chowking-san-andres",6329164,"Chowking x Milksha Specials"
"chowking",2024-02-29 00:00:00.0000000,"chowking-san-andres",6329171,"SuperSangkap Halo-Halo"
"greenwich",2023-03-31 00:00:00.0000000,"greenwich-pcu-taft",2933177,"Big Barkada Deal"
"greenwich",2023-04-01 00:00:00.0000000,"greenwich-pcu-taft",2933177,"Lenten Offer"
"greenwich",2023-04-27 00:00:00.0000000,"greenwich-pcu-taft",2933177,"Pizza Wednesday"
"greenwich",2023-04-24 00:00:00.0000000,"greenwich-pcu-taft",2933179,"Monday Promo"
"greenwich",2023-05-21 00:00:00.0000000,"greenwich-pcu-taft",2933181,"EXTREME OVERLOAD PIZZA"
"greenwich",2023-05-21 00:00:00.0000000,"greenwich-pcu-taft",2933184,"SNACK PIZZAS"
"greenwich",2023-05-21 00:00:00.0000000,"greenwich-pcu-taft",2933186,"BONDING BUNDLES"
"greenwich",2023-04-14 00:00:00.0000000,"greenwich-pcu-taft",2952649,"Buy 1 Get 1 Barkada Deal"
"greenwich",2023-04-28 00:00:00.0000000,"greenwich-pcu-taft",2975471,"PAYDAY DEAL"
"greenwich",2023-05-30 00:00:00.0000000,"greenwich-pcu-taft",2975471,"WEEKDAY PAYDAY DEAL"
"greenwich",2023-07-15 00:00:00.0000000,"greenwich-pcu-taft",2975471,"WEEKEND PAYDAY DEAL"
"greenwich",2023-06-12 00:00:00.0000000,"greenwich-pcu-taft",3036778,"TODAY'S OFFER"
"greenwich",2023-07-30 00:00:00.0000000,"greenwich-pcu-taft",3121011,"WORLD LASAGNA DAY PROMO"
"greenwich",2023-08-30 00:00:00.0000000,"greenwich-pcu-taft",3161198,"WEEKDAY PAYDAY DEAL"
"greenwich",2024-03-16 00:00:00.0000000,"greenwich-pcu-taft",3402454,"LIMITED TIME OFFER"
"greenwich",2023-12-15 00:00:00.0000000,"greenwich-pcu-taft",3436603,"PIZZA DEALS WITH COKE"
"mcdonalds",2023-09-17 00:00:00.0000000,"mcdonalds-la-salle-taft",3034006,"Popular"
"mcdonalds",2023-07-28 00:00:00.0000000,"mcdonalds-la-salle-taft",3034007,"Group Meals"
"mcdonalds",2023-07-28 00:00:00.0000000,"mcdonalds-la-salle-taft",3034008,"Burgers"
"mcdonalds",2023-07-28 00:00:00.0000000,"mcdonalds-la-salle-taft",3034009,"Chicken"
"mcdonalds",2023-09-17 00:00:00.0000000,"mcdonalds-la-salle-taft",3034010,"Spaghetti"
"mcdonalds",2023-07-28 00:00:00.0000000,"mcdonalds-la-salle-taft",3034011,"Rice Bowls"
"mcdonalds",2023-07-28 00:00:00.0000000,"mcdonalds-la-salle-taft",3034012,"Fries & Extras"
"mcdonalds",2023-07-28 00:00:00.0000000,"mcdonalds-la-salle-taft",3034013,"Desserts & Drinks"
"mcdonalds",2023-07-27 00:00:00.0000000,"mcdonalds-la-salle-taft",3034014,"Happy Meal"
"mcdonalds",2023-08-02 00:00:00.0000000,"mcdonalds-la-salle-taft",3056841,"#BetterWithCoke"
"bonchon",2022-09-23 00:00:00.0000000,"bonchon-um-taft",2074065,"Bibimbowl"
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",2074065,"Korean Rice Bowls"
"bonchon",2023-02-06 00:00:00.0000000,"bonchon-um-taft",2074070,"Chicken and Beef Bowls"
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",2074070,"Beef"
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",2074075,"Seafood"
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",2074077,"Mandu"
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",2074080,"Desserts"
"bonchon",2023-06-07 00:00:00.0000000,"bonchon-um-taft",2074081,"Choice_Toppings"
"bonchon",2023-02-06 00:00:00.0000000,"bonchon-um-taft",2081630,"Group Meals"
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",2081630,"Korean Feast"
"bonchon",2022-09-23 00:00:00.0000000,"bonchon-um-taft",2081631,"Party Platters"
"bonchon",2023-02-06 00:00:00.0000000,"bonchon-um-taft",2081632,"Snacks"
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",2081632,"Sandwiches"
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",2081633,"Beverages"
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",2118568,"Sides"
"bonchon",2023-02-06 00:00:00.0000000,"bonchon-um-taft",2293044,"Chicken Racks"
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",2293044,"Chicken & Seafood Racks"
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",2293045,"Korean Fried Chicken"
"bonchon",2023-02-06 00:00:00.0000000,"bonchon-um-taft",2407962,"Chikin Chops"
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",2407962,"Noodles & Soup"
"bonchon",2022-10-11 00:00:00.0000000,"bonchon-um-taft",2679838,"BonChon 10.10 Deals"
"bonchon",2023-02-06 00:00:00.0000000,"bonchon-um-taft",2765505,"K-mas Bundles"
"bonchon",2023-02-06 00:00:00.0000000,"bonchon-um-taft",2848839,"Limited Time Offer "
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",2848839,"What's New"
"bonchon",2023-11-28 00:00:00.0000000,"bonchon-um-taft",3060782,"Platter "
"bonchon",2024-02-12 00:00:00.0000000,"bonchon-um-taft",3060782,"Platters"
"bonchon",2024-03-14 00:00:00.0000000,"bonchon-um-taft",3060782,"Box To Share"
"bonchon",2023-11-28 00:00:00.0000000,"bonchon-um-taft",3352819,"Noodles & Soup"
"chowking",2024-02-18 00:00:00.0000000,"chowking-san-andres",514541,"Breakfast"
"chowking",2024-02-18 00:00:00.0000000,"chowking-san-andres",514542,"Lauriat"
"chowking",2024-02-18 00:00:00.0000000,"chowking-san-andres",514543,"Chao Fan"
"chowking",2024-02-18 00:00:00.0000000,"chowking-san-andres",514544,"Chinese Rice Meals"
"chowking",2024-02-18 00:00:00.0000000,"chowking-san-andres",514545,"Noodles"
